id,citizen_internal_id,message,timestamp
1,18,You have a pending verification.,03. 24. 2025  4:28:00 PM
2,4,Your aid request has been received.,04. 23. 2025  7:55:00 AM
3,10,Next food distribution is scheduled.,05. 28. 2025  6:33:00 PM
4,7,You have a pending verification.,05. 25. 2025  8:42:00 AM
5,18,Please update your contact information.,06. 21. 2025  7:12:00 AM
6,1,Next food distribution is scheduled.,03. 23. 2025  12:26:00 PM
7,10,Your file is under review.,02. 13. 2025  12:31:00 AM
8,7,Your assistance has been approved.,01. 29. 2025  9:48:00 PM
9,13,Please update your contact information.,03. 26. 2025  8:46:00 PM
10,19,You have been marked as high priority.,06. 13. 2025  12:48:00 AM
11,18,Please update your contact information.,05. 05. 2025  1:24:00 PM
12,7,Medical assistance will be delivered soon.,06. 07. 2025  8:59:00 PM
13,8,Your aid request has been received.,06. 18. 2025  2:40:00 PM
14,6,Please update your contact information.,02. 17. 2025  7:01:00 PM
15,20,Next food distribution is scheduled.,02. 22. 2025  7:13:00 AM
16,8,Please update your contact information.,02. 20. 2025  10:50:00 PM
17,1,Your file is under review.,05. 18. 2025  3:47:00 AM
18,2,You have been marked as high priority.,01. 26. 2025  9:39:00 PM
19,10,Your file is under review.,05. 03. 2025  4:50:00 AM
20,15,You have been marked as high priority.,05. 31. 2025  1:26:00 AM
1,22,تم استلام طلبكم للمساعدة الغذائية. سيتم التواصل معكم قريباً.,03. 24. 2025  4:28:00 PM
1,22,تم الموافقة على طلب المساعدة المالية. يرجى مراجعة المكتب لاستلام المبلغ.,04. 23. 2025  7:55:00 AM
1,22,نأسف لتأخير الرد. طلبكم قيد المراجعة وسيتم الرد خلال أسبوع.,05. 28. 2025  6:33:00 PM
1,22,تم ترتيب موعد للفحص الطبي يوم الأحد القادم في المستشفى العام.,05. 25. 2025  8:42:00 AM
1,22,يرجى تحديث بياناتكم الشخصية في أقرب وقت ممكن.,06. 21. 2025  7:12:00 AM
1,22,تم تسجيل طلبكم بنجاح. رقم الطلب: REQ-2024-001,03. 23. 2025  12:26:00 PM
1,22,شكراً لكم على التواصل. سيتم مراجعة حالتكم والرد قريباً.,02. 13. 2025  12:31:00 AM
